sample_index: 39
source_path: /home/tkimura4/data/datasets/ACIDS/individual_time_samples_one_sec/Gv1c2020_334.pt
ground_truth: 1
ground_truth_class: 1
float_prediction: 2
float_predicted_class: 2
float_confidence: 0.980382
float_correct: 0
quant_prediction: 2
quant_predicted_class: 2
quant_confidence: 0.601120
quant_correct: 0
predictions_match: 1
input_shape: [6, 7, 256]
input_dtype: float32
float_model: student_audio_deepsense_dw_simple_tiny
quant_model: student_audio_deepsense_dw_simple_tiny_w8a8
